phase_n,phase,cycle,task,lens,owner,load,feasibility,current,ceiling,description,examples,status
01,Plan the money,Month / quarter / year,Annual budget build,coordination,FP&A,Weeks,Medium,1,3,"Build the year ahead from last year's actuals, headcount, and the sales story, into a budget the board will sign. Actuals are what we spent and earned. The sales story is what operations say will happen next. The job is the pack they can argue over, not the targets themselves.","Lender: book growth, cost of funds, loss rate. Retail: store contribution and stock turn. Wholesale: throughput and floorplan cost. Consulting: utilisation, rate card, bench.",unmapped
01,Plan the money,Month / quarter / year,Rolling forecast update,coordination,FP&A,Weeks,Simple,1,3,"Re-forecast the rest of the year from what has actually happened, not from the original budget. Actuals are the numbers already in the books. The job is to say what has changed since we last looked, in time for someone to act.",Lender: arrears and origination vs plan. Retail: like-for-like and weather. Wholesale: auction clearance and margin. Consulting: win-rate and start dates.,unmapped
01,Plan the money,Month / quarter / year,13-week cashflow,evidence,Treasury,Weeks,Medium,1,3,"Show whether cash in the bank will cover payroll, rent, and tax over the next thirteen weeks. A P&L is profit and loss — what we earned and spent on paper. Cashflow is money actually arriving and leaving. The job is the cash one.",Lender: collections vs new advances vs warehouse. Retail: stock buys vs till. Wholesale: vehicle settlement vs floorplan. Consulting: WIP conversion vs contractor pay.,unmapped
01,Plan the money,Month / quarter / year,Scenario and stress,judgement,CFO,Days,Medium,1,2,"Name two or three things that could go wrong, and show what each does to cash and profit. The model does the arithmetic. The CFO chooses which stories to run. The job is the range, not a single recommended number.",Lender: loss-rate and funding shock. Retail: a quiet quarter and a stuck container. Wholesale: a soft auction book. Consulting: a large client pauses.,unmapped
01,Plan the money,Month / quarter / year,Headcount and cost planning,coordination,FP&A,Days,Simple,1,3,"Keep a live list of who we pay, when they start or leave, and what they cost once KiwiSaver, tax, and overhead sit on top. Fully loaded means salary plus those extras. The job is whether the people plan still adds up, not who to hire.","Lender: collectors, credit, and originators against the book plan. Retail: store and DC roster vs budgeted hours. Wholesale: yard, auction, and sales headcount. Consulting: utilisation is the product — bench is a cost line, not a rounding error.",unmapped
02,Bill the customer,Deal / daily / weekly,Raise invoices,coordination,AR,Weeks,Simple,2,3,"Turn work done, goods gone, or money advanced into a bill the customer will recognise as theirs. The bill is the invoice. Miss this and every number downstream is made up. The job is to raise it from the operational system, not from a finance inbox.","Lender: interest, fees, drawdowns. Retail: account and special-order invoices. Wholesale: vehicle tax invoices and buyer fees. Consulting: time, milestone, and expense invoices.",unmapped
02,Bill the customer,Deal / daily / weekly,Credit notes and adjustments,judgement,AR,Days,Medium,1,2,"Reduce or reverse a bill when it was wrong, or when the relationship requires it. A credit note is that reversal. Uncontrolled credits leak margin and can hide fraud. The job is the reason and the approval, not the keystroke.",Retail: returns and pricing errors. Wholesale: post-sale defects and buyer claims. Consulting: write-downs on a job. Lender: fee waivers and hardship.,unmapped
02,Bill the customer,Deal / daily / weekly,Recurring and scheduled billing,coordination,AR,Days,Simple,2,3,"Bill retainers, interest, subscriptions, service plans, and similar charges on the date the contract says. The schedule lives on the contract, not in someone's head. The job is to bill on time, and to work the list of what failed to generate.",Lender: interest runs. Retail: account terms. Wholesale: holding and fee runs. Consulting: retainers and staged SOWs.,unmapped
02,Bill the customer,Deal / daily / weekly,Revenue cut-off and recognition,judgement,FC,Days,Complex,1,2,"Decide whether we have earned the revenue, or only billed it, or only quoted it. Cut-off is the date the thing was actually delivered, driven away, or drawn down. Tax and the accounting rules often disagree on that date. The job is the flag on each deal, not an automatic posting.",Lender: effective-interest vs cash fees. Retail: bill-and-hold and gift cards. Wholesale: when the vehicle left vs when it was auctioned. Consulting: over-time vs milestone.,unmapped
02,Bill the customer,Deal / daily / weekly,Intercompany billing,coordination,FC,Days,Medium,1,3,"Bill from the company that did the work to the company that holds the customer. Intercompany means two entities in the same group. Skip it and the group numbers will not add up at consolidation. The job is agreed recharge rules, then a monthly pack.",Lender: servicing vs book-holding entities. Retail: DC vs stores. Wholesale: auction vs retail yards. Consulting: AU/NZ or brand entities.,unmapped
03,Get paid,Daily / weekly,Aged receivables review,coordination,AR,Weeks,Simple,2,3,"List who owes us, how old the debt is, and who owns the chase. Receivables are unpaid customer invoices. Ageing is how long they have been unpaid. The job is that list, every week, so collections is not a feeling.",Lender: arrears buckets on the book. Retail: account customers. Wholesale: dealer and trade debtors. Consulting: unbilled plus billed unpaid.,unmapped
